TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Foxc1	Ostf1	-0.11475	-0.015154	rgb(214,215,218)	1.4333	2,2
Foxh1	Wwp1	-0.11475	-0.035025	rgb(209,212,218)	1.4333	None
Foxj1	Mllt6	-0.11475	-0.043226	rgb(208,211,219)	1.4333	2,2
Foxj1	Smg5	-0.11475	-0.092819	rgb(197,205,221)	1.4333	2,2
Foxk2_Foxp1...	Slc39a1	0.11475	0.012369	rgb(217,215,215)	1.55	2,2
Foxp3	Wipf1	0.11475	0.017094	rgb(217,214,214)	1.55	2,2
Gata1	Syf2	0.11475	0.049466	rgb(218,208,208)	1.55	2,2
Gata1	Tnfrsf18	0.11475	0.025762	rgb(217,212,212)	1.55	2,2
Gata2	Cd96	0.11475	0.026683	rgb(217,212,212)	1.55	2,2
Gli3	Gbp4	-0.11475	-0.011295	rgb(215,216,217)	1.4333	2,2
Glis1	Ermp1	-0.11475	-0.022385	rgb(212,214,218)	1.4333	2,2
Glis1	Mpp1	0.11475	0.021982	rgb(217,213,213)	1.55	2,2
Glis3	Dnmt3b	0.11475	0.0080705	rgb(217,215,215)	1.55	2,2
Hes1	Dnajc12	-0.11475	-0.018272	rgb(213,215,218)	1.4333	None
Hes5	Gpr146	-0.11475	-0.033005	rgb(210,213,218)	1.4333	2,2
Hey1	Il10rb	-0.11475	-0.011255	rgb(215,216,217)	1.4333	2,2
Hlx	Ly6a	0.11475	0.027434	rgb(217,212,212)	1.55	2,2
Hmg20b	Adora2a	0.11475	0.020532	rgb(217,213,213)	1.55	2,2
Hmga1_Hmga1-rs1	Wwp1	0.11475	0.034923	rgb(217,210,210)	1.55	None
Hmx3	Ebag9	0.11475	0.014272	rgb(217,214,214)	1.55	2,2
Hmx3	Rgs1	0.11475	0.012303	rgb(217,215,215)	1.55	None
Hoxd4	Ly6a	0.11475	0.030408	rgb(217,211,211)	1.55	2,2
Hsf1	Ctla4	0.11475	0.01353	rgb(217,214,214)	1.55	None
Hsf2	Tbc1d14	-0.11475	-0.053747	rgb(205,210,219)	1.4333	2,2
Insm1	Larp1b	-0.11475	-0.011477	rgb(215,215,217)	1.4333	2,2
Irf1	Psme2	0.11475	0.037005	rgb(217,210,210)	1.55	2,2
Irf4	Ikzf4	-0.11475	-0.02508	rgb(212,214,218)	1.4333	2,2
