TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Rela	Max	0.68396	0.65443	rgb(224, 92, 93)	1.8372	2,2
Myc	Ypel5	-0.68395	-0.65953	rgb( 74,130,242)	1.1324	2,2
Zbtb7b	Zfp609	0.6833	0.68094	rgb(224, 87, 88)	1.8368	2,2
E2f1	Gmfg	-0.68312	-0.70642	rgb( 64,124,244)	1.1328	2,2
Zfhx3	Tsc1	0.68306	0.76656	rgb(225, 71, 72)	1.8367	2,2
Klf5	Neurl1b	0.68299	0.61774	rgb(224, 99,100)	1.8367	2,2
Junb	Creb3l2	0.68203	0.63303	rgb(224, 96, 97)	1.8362	2,2
Irf9	Ddx60	0.68171	0.37003	rgb(221,146,147)	1.836	2,2
Foxn2	Rasgrp1	0.6813	0.70031	rgb(225, 83, 85)	1.8358	2,2
Gabpa	Ecd	0.68051	0.63201	rgb(224, 96, 98)	1.8354	2,2
E2f1	Cep76	0.68038	0.75637	rgb(225, 73, 74)	1.8353	2,2
Zbtb46	Wnt3	0.68036	0.55963	rgb(223,110,111)	1.8353	2,2
Srebf1	4932438H23Rik	0.68033	0.59633	rgb(224,103,104)	1.8353	None
Hes1	Ostf1	-0.68	-0.69827	rgb( 65,125,244)	1.1344	2,2
Batf	Acsl4	0.67984	0.66565	rgb(224, 90, 91)	1.835	2,2
Hey1	Mycbp2	0.67941	0.65749	rgb(224, 91, 93)	1.8348	2,2
Klf4	Kcnk7	0.67923	0.47808	rgb(222,126,127)	1.8347	2,2
Nfia	Dapl1	0.67858	0.73496	rgb(225, 77, 78)	1.8344	2,2
Rela	Itgb3bp	0.67806	0.59837	rgb(224,103,104)	1.8341	2,2
Hoxd4	Gm12942	0.67677	0.52701	rgb(223,116,117)	1.8335	2,2
Rela	Wdfy3	0.67619	0.63609	rgb(224, 96, 97)	1.8332	2,2
Zfx	Ptpn11	0.6759	0.47706	rgb(222,126,127)	1.833	2,2
Klf4	Dnmt3a	-0.67552	-0.67584	rgb( 70,128,243)	1.1367	2,2
Yy2	Eci2	-0.6755	-0.52599	rgb(103,148,237)	1.1368	2,2
Hsf4	E2f7	-0.67536	-0.47808	rgb(113,154,235)	1.1368	2,2
Maff	Polr3gl	0.67509	0.5841	rgb(223,105,107)	1.8326	2,2
Klf5	Als2cl	0.67488	0.60856	rgb(224,101,102)	1.8325	None
Fosl1	Mt1	0.67379	0.82671	rgb(226, 59, 61)	1.8319	None
Ascl2	Naca	-0.67333	-0.59327	rgb( 88,139,240)	1.1379	2,2
Zfhx2	Klhl6	0.67324	0.63609	rgb(224, 96, 97)	1.8316	2,2
Foxj1	Traf3	-0.67319	-0.6422	rgb( 78,132,241)	1.138	2,2
Nr1d1	Dpy19l3	0.67313	0.53109	rgb(223,116,117)	1.8316	2,2
Myc	Vamp4	-0.67281	-0.58308	rgb( 90,140,239)	1.1381	2,2
Ncoa2	Tcf12	0.67256	0.68502	rgb(225, 86, 88)	1.8313	2,2
Erg	Ccdc50	-0.67255	-0.79817	rgb( 44,112,247)	1.1383	2,2
Irf5	Cyfip2	-0.6722	-0.64526	rgb( 77,132,242)	1.1385	2,2
E2f1	Pfas	0.67174	0.48114	rgb(222,125,126)	1.8309	2,2
Zbtb7b	Decr1	-0.67167	-0.45668	rgb(118,157,234)	1.1387	2,2
Jund	A830010M20Rik	0.67146	0.31397	rgb(220,157,158)	1.8307	2,2
Klf8	Hist1h1c	0.67042	0.52599	rgb(223,117,118)	1.8302	2,2
E2f4	Fam111a	0.66943	0.81142	rgb(226, 62, 64)	1.8297	2,2
Bhlhe40	Bmp2k	0.66876	0.71458	rgb(225, 81, 82)	1.8293	2,2
Irf1	Samd9l	0.66831	0.47706	rgb(222,126,127)	1.8291	2,2
Pou2f2	Urb1	-0.66779	-0.43425	rgb(123,160,234)	1.1407	2,2
Nhlh1	Gpr146	0.66769	0.67584	rgb(224, 88, 89)	1.8288	2,2
