TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Ankzf1	Rgs11	0.64664	0.62069	rgb(224, 98,100)	1.8198	2,2
Fosb	R3hdm1	0.64557	0.72414	rgb(225, 79, 80)	1.8193	2,2
Hes1	Tsc1	0.64515	0.63793	rgb(224, 95, 96)	1.8191	2,2
Pparg	Pkp3	-0.6438	-0.60345	rgb( 86,137,240)	1.1619	2,2
Sp3	Rnh1	0.64354	0.84483	rgb(226, 56, 57)	1.8183	None
Batf	Gpsm2	0.64311	0.56897	rgb(223,108,109)	1.818	2,2
Stat3	Ripk2	-0.64267	-0.74138	rgb( 56,119,245)	1.1625	2,2
Foxq1	Arhgef3	0.64251	0.75862	rgb(225, 72, 74)	1.8177	2,2
Etv5	C2cd2l	0.64214	0.36207	rgb(221,148,149)	1.8175	2,2
Hmg20b	Abcd3	0.64192	0.53448	rgb(223,115,116)	1.8174	2,2
Zbtb7b	Tmbim1	-0.64119	-0.7931	rgb( 45,112,247)	1.1632	2,2
Stat3	Cmtm7	-0.64069	-0.81034	rgb( 41,110,248)	1.1635	2,2
Mafg	Fyn	0.64065	0.7931	rgb(226, 66, 67)	1.8168	2,2
Elf1	Notch1	-0.64019	-0.53448	rgb(101,146,237)	1.1637	2,2
Thap1	Dffb	0.63997	0.60345	rgb(224,102,103)	1.8164	2,2
Erg	Lime1	0.63993	0.7069	rgb(225, 82, 83)	1.8164	2,2
Batf	Chm	0.63983	0.62069	rgb(224, 98,100)	1.8164	2,2
Klf5	Sun1	0.63911	0.55172	rgb(223,112,113)	1.816	2,2
Prdm1	Anapc1	-0.63901	-0.60345	rgb( 86,137,240)	1.1643	2,2
Elf1	Atp6v1g1	0.63824	0.55172	rgb(223,112,113)	1.8156	2,2
Batf	Acsl4	0.63748	0.68966	rgb(225, 85, 87)	1.8152	2,2
Rela	Cxcr5	-0.6373	-0.60345	rgb( 86,137,240)	1.1652	2,2
Klf10	Kctd14	0.6371	0.67241	rgb(224, 89, 90)	1.815	2,2
Foxp4	B4galnt1	0.6366	0.84483	rgb(226, 56, 57)	1.8147	2,2
Tal2	Tnfrsf13c	0.63643	0.65517	rgb(224, 92, 93)	1.8146	2,2
Erg	Mvp	0.63612	0.67241	rgb(224, 89, 90)	1.8145	2,2
Hhex	Lpin2	0.63604	0.63793	rgb(224, 95, 96)	1.8144	2,2
Batf	Arhgap12	0.6359	0.77586	rgb(226, 69, 70)	1.8144	2,2
Fos	Dcxr	0.63423	0.63793	rgb(224, 95, 96)	1.8135	2,2
Zfhx3	Smg5	0.63389	0.7069	rgb(225, 82, 83)	1.8133	2,2
Rfx3	Gripap1	-0.63357	-0.72414	rgb( 60,121,245)	1.1671	2,2
Nr1d1	Nsf	0.63297	0.67241	rgb(224, 89, 90)	1.8129	2,2
Stat3	Ncs1	0.63295	0.82759	rgb(226, 59, 61)	1.8129	2,2
Patz1	Ssbp4	0.63263	0.51724	rgb(223,118,119)	1.8127	2,2
Foxo3	Dynll2	-0.63257	-0.67241	rgb( 71,128,243)	1.1676	2,2
Rreb1	Tsc22d1	0.63237	0.65517	rgb(224, 92, 93)	1.8126	2,2
Rreb1	Tsc1	0.63198	0.63793	rgb(224, 95, 96)	1.8124	2,2
Zscan10	Vegfb	0.63184	0.62069	rgb(224, 98,100)	1.8123	2,2
Zfp385a	Psrc1	0.63118	0.5	rgb(223,122,123)	1.812	2,2
Mtf2	Psmd8	-0.63087	-0.68966	rgb( 67,126,243)	1.1685	2,2
Klf13	Impdh1	0.63086	0.53448	rgb(223,115,116)	1.8118	None
Elk3	Wdr1	0.62991	0.63793	rgb(224, 95, 96)	1.8113	2,2
Zfp473	Flot2	0.62972	0.56897	rgb(223,108,109)	1.8112	2,2
Foxn2	Dpp4	0.62929	0.65517	rgb(224, 92, 93)	1.811	2,2
Irf5	Chchd7	0.62841	0.51724	rgb(223,118,119)	1.8105	2,2
Irf4	Gemin6	0.62838	0.60345	rgb(224,102,103)	1.8105	2,2
Bbx	Il10	0.62755	0.67241	rgb(224, 89, 90)	1.8101	2,2
Irf1	Anapc1	-0.6275	-0.58621	rgb( 90,140,239)	1.1702	2,2
Egr4	Rnh1	-0.6273	-0.84483	rgb( 34,105,249)	1.1703	2,2
E2f4	C2cd2l	0.62693	0.36207	rgb(221,148,149)	1.8098	2,2
Sp2	Notch1	-0.62545	-0.53448	rgb(101,146,237)	1.1712	2,2
Klf12	Pmm1	0.62513	0.77586	rgb(226, 69, 70)	1.8089	2,2
Sp3	Arid3a	0.62489	0.75862	rgb(225, 72, 74)	1.8087	2,2
E2f1	Ddx51	0.62464	0.60345	rgb(224,102,103)	1.8086	2,2
Stat1	Lpp	0.62445	0.60345	rgb(224,102,103)	1.8085	2,2
Hey1	Traf3	0.62421	0.62069	rgb(224, 98,100)	1.8084	2,2
Foxf2	Nrip1	0.62409	0.68966	rgb(225, 85, 87)	1.8083	2,2
Zbtb32	Perp	0.62397	0.7069	rgb(225, 82, 83)	1.8083	2,2
Zeb2	Ptger2	0.62389	0.56897	rgb(223,108,109)	1.8082	2,2
Irf5	Clec2i	0.62364	0.51724	rgb(223,118,119)	1.8081	2,2
Cic	Emp1	0.62316	0.65517	rgb(224, 92, 93)	1.8079	2,2
