TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Sp6	Stambp	0.14015	39.03	0.133	rgb(218,192,192)	1.7663	None
Gata2	Ssh2	-0.13674	39.02	-2.0E-02	rgb(213,214,218)	1.7661	None
Dlx3	Stambp	0.13333	38.34	0.337	rgb(221,153,153)	1.7524	2,2
Tulp2	Srxn1	0.13059	38.25	0.255	rgb(220,168,169)	1.7506	2,2
Bcl6b	Stac2	0.12784	38.24	0.235	rgb(220,172,173)	1.7504	None
Fosl2	Srpk1	-0.1251	38.21	-2.1E-01	rgb(172,189,225)	1.7497	None
Zfp91	Srsf12	-0.1251	38.21	-2.1E-01	rgb(172,190,225)	1.7497	2,2
Nfkb1	Sqstm1	0.12235	38.2	0.199	rgb(219,179,179)	1.7495	None
Glis3	Ss18	0.11961	38.18	0.18	rgb(219,183,183)	1.7491	2,2
Cebpg	St3gal1	-0.11686	38.17	-1.7E-01	rgb(179,194,224)	1.7489	2,2
Thap7	Sra1	0.11686	38.17	0.169	rgb(219,185,185)	1.7489	2,2
Gata1	St3gal1	0.11412	38.14	0.14	rgb(219,190,191)	1.7483	None
Sp6	Src	0.11137	38.13	0.13	rgb(218,192,192)	1.7481	2,2
Zfp532	St18	0.11137	38.13	0.132	rgb(218,192,192)	1.7481	2,2
Zbtb44	St8sia6	0.10863	38.11	0.111	rgb(218,196,196)	1.7477	2,2
Hdx	Ss18	0.10588	38.08	0.081	rgb(218,201,202)	1.7471	None
Fos	Srpk1	-0.10314	38.07	-7.3E-02	rgb(201,207,220)	1.7469	None
Rbpj	Srpk1	0.10039	38.05	0.052	rgb(218,207,207)	1.7465	None
Stat4	Srgap3	-0.10039	38.05	-4.9E-02	rgb(206,211,219)	1.7465	None
Irf4	Spsb4	0.097647	38.04	0.044	rgb(217,209,209)	1.7463	None
Elf1	Stap1	0.094902	38.02	0.016	rgb(217,214,214)	1.7459	None
Nfat5	St18	0.092157	38.01	0.008	rgb(217,216,216)	1.7457	None
Myc	Ss18	0.089412	38	0.001	rgb(217,217,217)	1.7455	None
