TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Six5	St3gal1	0.11533	38.26	0.263	rgb(220,167,167)	1.75	None
Satb1	St6galnac1	0.11189	38.25	0.053	rgb(218,207,207)	1.7498	None
Satb2	St6galnac1	0.11189	38.25	0.053	rgb(218,207,207)	1.7498	None
Nr4a1	St14	0.10844	38.24	0.236	rgb(220,172,172)	1.7496	2,2
Mbnl2	Srsf12	0.10844	38.24	0.239	rgb(220,171,172)	1.7496	2,2
Zfp511	Srpk1	0.10844	38.24	0.237	rgb(220,172,172)	1.7496	2,2
Hoxb1	Srpk2	0.105	38.23	0.233	rgb(220,173,173)	1.7494	2,2
Lef1	Srgn	0.10156	38.22	0.217	rgb(219,176,176)	1.7492	None
Trp73	Sspo	0.098111	38.21	0.213	rgb(219,176,177)	1.749	None
Klf4	St7	-0.094667	38.19	-1.9E-01	rgb(176,192,224)	1.7486	None
Gm10324	Sqle	0.094667	38.19	0.19	rgb(219,181,181)	1.7486	2,2
Kdm2b	St7l	0.091222	38.17	0.17	rgb(219,185,185)	1.7482	2,2
Sp4	Sra1	-0.091222	38.17	-1.7E-01	rgb(179,194,224)	1.7482	None
Gata1	St14	-0.087778	38.15	-1.5E-01	rgb(184,197,223)	1.7478	2,2
Relb	Sqstm1	0.087778	38.15	0.149	rgb(219,189,189)	1.7478	2,2
Heyl	Sptlc1	0.084333	38.14	0.137	rgb(219,191,191)	1.7476	2,2
Zfp281	Ssh2	0.080889	38.13	0.135	rgb(218,191,191)	1.7474	None
Zfp524	Stambp	-0.080889	38.13	-1.3E-01	rgb(189,200,222)	1.7474	2,2
Sox5	Sspo	0.077444	38.12	0.119	rgb(218,194,195)	1.7472	2,2
Tbx21	St3gal5	-0.077444	38.12	-1.2E-01	rgb(192,202,221)	1.7472	2,2
