TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
E2f1	Bcor	0.6543	0.73895	rgb(225, 76, 77)	1.8215	2,2
Gabpa	Polr3b	0.65268	0.69474	rgb(225, 84, 86)	1.8206	2,2
Maff	Trappc10	-0.6523	-0.58211	rgb( 91,140,239)	1.1468	2,2
Nr1d1	Impg2	0.6514	0.68737	rgb(225, 86, 87)	1.82	2,2
Stat2	Inadl	0.65124	0.63789	rgb(224, 95, 96)	1.8199	2,2
Hey1	Dhx33	0.65122	0.58	rgb(223,106,107)	1.8199	2,2
Cux1	Zfp467	0.65112	0.65263	rgb(224, 92, 94)	1.8198	2,2
Egr3	Zfp592	0.65035	0.56947	rgb(223,108,109)	1.8194	2,2
Ankzf1	Rgs11	0.64998	0.64947	rgb(224, 93, 94)	1.8193	2,2
Runx2	Tnfrsf18	0.6497	0.65789	rgb(224, 91, 93)	1.8191	2,2
Klf5	Impdh1	0.64916	0.53053	rgb(223,116,117)	1.8188	2,2
Satb1_Satb2	Hist1h1c	0.64887	0.59368	rgb(224,104,105)	1.8187	2,2
Zfp263	Hspb11	0.64858	0.55158	rgb(223,112,113)	1.8185	2,2
Foxn2	Dpp4	0.64826	0.77263	rgb(225, 69, 71)	1.8184	2,2
Foxq1	Arhgef3	0.64784	0.76737	rgb(225, 70, 72)	1.8181	2,2
Klf7	Arfgap3	0.64776	0.56737	rgb(223,109,110)	1.8181	2,2
Sp2	Cd74	0.64772	0.73053	rgb(225, 77, 79)	1.8181	2,2
Dmrt2	Abhd4	0.64764	0.65895	rgb(224, 91, 92)	1.818	2,2
E2f1	Rpusd2	0.647	0.54105	rgb(223,114,115)	1.8177	2,2
Klf7	Gatsl3	0.64666	0.67789	rgb(224, 88, 89)	1.8175	None
Elf1	Pts	0.64659	0.55158	rgb(223,112,113)	1.8175	2,2
Zbtb46	Dlc1	0.64626	0.53474	rgb(223,115,116)	1.8173	2,2
Sp2	Retsat	0.64614	0.78421	rgb(226, 67, 69)	1.8173	2,2
