TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Klf5	Gabbr1	0.74789	0.75322	rgb(225, 73, 75)	1.8733	2,2
Egr4	Acss1	0.7478	0.95708	rgb(228, 34, 36)	1.8732	2,2
Nfatc2	Mnda	-0.74747	-0.48927	rgb(111,152,236)	1.1215	2,2
Snai2	Cxcr4	0.74673	0.56867	rgb(223,108,110)	1.8727	2,2
E2f1	Ctnna1	0.74628	0.4485	rgb(222,131,132)	1.8724	2,2
Irf7	Acsl6	0.74553	0.44421	rgb(222,132,133)	1.8721	None
Etv2	Ifi203	0.74494	0.81545	rgb(226, 61, 63)	1.8718	2,2
Bcl6	Il24	0.74493	0.42918	rgb(222,135,136)	1.8718	2,2
Bcl6	Lgals1	0.74489	0.82618	rgb(226, 59, 61)	1.8718	2,2
Six5	Abcb1b	0.74459	0.54506	rgb(223,113,114)	1.8716	2,2
Zfp105	Ndrg1	-0.74433	-0.69528	rgb( 66,125,243)	1.1231	2,2
Pou2af1	Eps8l1	0.7433	0.603	rgb(224,102,103)	1.8709	2,2
Bcl6	Zfpm1	-0.74285	-0.75107	rgb( 54,118,246)	1.1238	None
Stat1	Tex2	0.74162	0.74893	rgb(225, 74, 75)	1.8701	2,2
Klf3	Rasgrp2	0.74143	0.49571	rgb(222,122,123)	1.87	2,2
Zic2	Dnmt3a	0.7411	0.88841	rgb(227, 47, 49)	1.8698	2,2
Zfhx2	Flna	0.7409	0.6073	rgb(224,101,102)	1.8697	2,2
Zbtb7b	Trib2	0.74029	0.76824	rgb(225, 70, 72)	1.8694	2,2
Egr1	Oasl2	-0.7399	-0.70386	rgb( 64,124,244)	1.1253	2,2
Etv2	Tspan6	-0.73944	-0.63519	rgb( 79,133,241)	1.1255	2,2
Myc	Mafg	-0.73941	-0.68884	rgb( 68,126,243)	1.1255	2,2
Mybl1	Anln	0.73845	0.75322	rgb(225, 73, 75)	1.8685	2,2
Stat4	Bcl3	0.73834	0.84549	rgb(226, 56, 57)	1.8685	2,2
Ikzf3	Capn2	0.73817	0.72747	rgb(225, 78, 80)	1.8684	2,2
Egr2	Tspyl4	0.73806	0.78541	rgb(226, 67, 69)	1.8683	2,2
Sall3	Ccrn4l	0.73732	0.66953	rgb(224, 89, 90)	1.8679	2,2
Gli3	Slamf6	0.73715	0.44635	rgb(222,132,133)	1.8679	2,2
Atf3	Avpi1	0.73714	0.67597	rgb(224, 88, 89)	1.8679	2,2
Etv5	Cmah	-0.73708	-0.7103	rgb( 63,123,244)	1.1267	2,2
Rxra	Anapc1	0.73491	0.54077	rgb(223,114,115)	1.8667	2,2
Irf9	Crem	0.73424	0.70172	rgb(225, 83, 84)	1.8664	2,2
Klf5	Tef	0.73376	0.83262	rgb(226, 58, 60)	1.8662	2,2
Sp2	Rnh1	0.73352	0.53648	rgb(223,115,116)	1.866	2,2
Gfi1	Sh3kbp1	-0.7334	-0.6588	rgb( 74,130,242)	1.1286	2,2
Zfp219	Igfbp4	-0.73319	-0.62661	rgb( 81,134,241)	1.1287	2,2
Zfx	Tfg	-0.73315	-0.78541	rgb( 47,113,247)	1.1287	2,2
Zbtb7c	Flot2	-0.73315	-0.71674	rgb( 61,122,244)	1.1287	2,2
Egr4	Pacs1	0.73307	0.65021	rgb(224, 93, 94)	1.8658	2,2
Zic2	Tnf	0.73299	0.80901	rgb(226, 62, 64)	1.8658	2,2
Trp53	Cd81	0.73287	0.64807	rgb(224, 93, 95)	1.8657	2,2
Irf9	Enpp1	0.73268	0.68455	rgb(225, 86, 88)	1.8656	2,2
Lhx5	Slco3a1	0.73135	0.71459	rgb(225, 81, 82)	1.8649	2,2
Stat2	Crebbp	0.73128	0.80472	rgb(226, 63, 65)	1.8649	2,2
Elk3	Tmem71	0.73119	0.62017	rgb(224, 99,100)	1.8649	2,2
Sp2	Zdhhc2	0.73104	0.65451	rgb(224, 92, 93)	1.8648	2,2
Hes1	Srpk2	-0.73094	-0.80258	rgb( 43,111,247)	1.1298	2,2
Trp53	Traf3	-0.72916	-0.80472	rgb( 42,111,248)	1.1307	2,2
Myc	Tnfrsf21	-0.72909	-0.54077	rgb(100,146,238)	1.1307	2,2
Rxra	Acvr1b	-0.72904	-0.82833	rgb( 37,108,248)	1.1308	2,2
Eomes	Ehd3	0.72838	0.57725	rgb(223,107,108)	1.8635	2,2
Thap1	Ptpn11	0.72778	0.5794	rgb(223,106,107)	1.8631	2,2
