TF	Target	combined_confidence
Ncoa1	Sms	0.9881752278219239
Cdc5l	Pts	0.9881600775692935
Rela	Rcsd1	0.9881562900061358
Sox4	Parp8	0.9881525024429783
Sox4	Ift57	0.9881487148798206
Ankzf1	Ddit3	0.9881297770640325
Klf6	Utf1	0.9881259895008749
Foxp1	Klf2	0.9880994765587716
Bhlhe40	Pgm2	0.988076751179826
Cic	Itga3	0.9880313004219345
Atf6b	Crip1	0.9880085750429889
Batf	Cdkn2d	0.9879820621008856
Zfp426	Wisp1	0.9879403989061517
Plagl2	Lsp1	0.9879100984008908
Zbtb22	Atp6v1g1	0.9879063108377332
Etv6	Anln	0.9878873730219452
Zfpm1	Pdzk1ip1	0.9878873730219452
Fosl1	Cd160	0.9878760103324723
Fosl1	Wdr1	0.9878457098272113
Hif1a	Eif4ebp1	0.9878419222640538
Foxn2	Nsg2	0.9878305595745809
Cic	Syt11	0.9878191968851081
Klf7	Pfkp	0.9878191968851081
Litaf	Tnfaip8	0.9878154093219504
Zbed4	Ddx51	0.9877737461272167
Nfkb1	Mical1	0.9877585958745863
Erf	Il24	0.9877472331851134
Zfp101	Papss1	0.9877055699903796
Cic	Mbp	0.9876904197377492
Nr1d2	Psme1	0.9876904197377492
Rorc	Slamf6	0.9876904197377492
Mtf2	Ptpn11	0.987652544106173
Atf3	Cog6	0.9876411814167001
Mtf2	Rgs19	0.9875843679693359
Ski	Serpinb6b	0.9875654301535478
Cic	Ptprj	0.9875389172114445
Klf10	Tspan3	0.9875086167061836
Zfp90	Ddx19b	0.9874896788903955
Usf2	Epc1	0.9874669535114498
Satb1	Extl3	0.9874631659482922
Hif1a	Slc2a1	0.9874442281325041
Srebf1	Capn2	0.9873912022482975
Nr4a1	Thoc3	0.9873722644325094
Clock	Rel	0.9873457514904062
Nfkb2	Hemk1	0.9873381763640908
Hbp1	Rab8b	0.9873306012377756
Ddit3	Stambp	0.987326813674618
Rel	Jak2	0.9873154509851452
Zfp160	Notch1	0.987277575353569
Drap1	Ethe1	0.9872737877904114
Zfp574	Ly9	0.9872624251009385
Gata3	Nts	0.9872359121588352
Zfpm1	Hlcs	0.9872321245956777
Stat3	Egr3	0.9872093992167319
Hif1a	P4hb	0.9871828862746286
Rorc	Txk	0.987179098711471
Gata3	Nudt4	0.9871677360219981
Hif1a	Got1	0.9870465340009544
Zeb2	Stx1a	0.9870351713114817
Mafg	Cltb	0.9870010832430631
Myc	Mecr	0.9869897205535902
Son	Tsc1	0.9869897205535902
Rorc	Nrp1	0.9869859329904326
Klf7	Cxcr6	0.9869669951746446
Ikzf4	Vps37b	0.9869556324851717
Zfp35	Tns1	0.9869366946693836
Cux1	Myo18a	0.9869329071062259
Rela	Npc2	0.9869177568535955
Pknox1	Tbc1d14	0.9868988190378074
Irf9	Gbp4	0.9868609434062313
Mtf2	Nfkb2	0.9868420055904432
Rora	Hvcn1	0.9868306429009703
Foxn2	Acsbg1	0.9868268553378128
Satb1	Angptl4	0.9868268553378128
Fli1	Ecm1	0.9867776170167638
Lef1	Ctss	0.9867738294536061
Gata3	Pdzk1ip1	0.9867132284430843
Plagl2	Rap2b	0.9867094408799266
Klf9	Cxcr6	0.9866715652483505
Tcf3	Sertad3	0.9866715652483505
Plagl2	Ebag9	0.9866564149957201
Litaf	Tnfrsf18	0.9866336896167743
Klf6	Klf4	0.9866261144904591
Cic	Agpat3	0.9865958139851982
Arid2	Gusb	0.9865806637325677
Erf	Mgst3	0.9865768761694101
Zeb2	Gpr83	0.9865655134799373
Foxo3	Acox1	0.9865617259167797
Elk3	Xrcc5	0.9865465756641492
Foxn2	Tgfbr1	0.9865390005378339
Foxo1	Clk3	0.9865200627220458
Irf7	Rgs19	0.9864556741483664
Jun	Mvp	0.9864291612062631
Irf9	Lgals3bp	0.9864215860799479
Gtf2ird1	Arhgef3	0.986410223390475
Plscr1	Tmbim1	0.986410223390475
Hif1a	Hook2	0.9864064358273175
Smad4	Creb1	0.9863988607010022
Rxrb	Rpl10a	0.9863799228852141
Cic	Tgm2	0.986360985069426
Cebpz	Mgst3	0.9863420472536379
Zfp277	Nudt6	0.9863231094378498
Zfp688	Lbh	0.9863041716220617
Atf5	Nsf	0.9862814462431161
Atf6	Smox	0.9862776586799585
Egr3	Clybl	0.9862662959904857
Nhlh1	Padi2	0.9862549333010128
Runx1	Enah	0.9862549333010128
Rela	Spata6	0.9862511457378552
Zfp869	Ets2	0.9862397830483823
Litaf	Tbx21	0.9862359954852247
Smad4	Txk	0.9862208452325942
Cenpb	Ercc5	0.9862094825431214
Creb3l2	Dusp12	0.9862094825431214
Zfp426	B4galt1	0.9862056949799638
Zfpm1	Pdpn	0.9861943322904909
Cebpb	Rtn4	0.9861791820378605
